ad_id,ad_name,long_version_video_id,short_version_video_id
825,enormous-varactor,1761,260
826,vellicative-chemisorb,449,956
827,outvenomed-tithonias,363,970
828,ejective-straked,204,434
829,acrylonitrile-bloodlust,332,522
830,outstations-tying,1867,887
831,chieferies-emblics,1270,1625
832,squiresses-bigheadedness,1665,664
833,effete-cutch,855,44
834,pellack-juvenals,1046,132
835,cervixes-alibied,1720,1796
836,depopulating-graips,1766,900
837,mycovirus-nattering,1866,1547
838,unappalled-laveers,60,1786
839,suboptimizations-unpunctualities,1275,1324
840,frush-beadman,1327,1223
841,interclavicular-sugging,713,1928
842,diurnalists-papyrus,88,574
843,shortchanged-contemplatist,151,414
844,babblements-heptahedra,1991,1018
845,vacances-trephine,836,502
846,arable-sinistrorse,313,227
847,swingisms-floppily,425,352
848,chinwag-defrags,528,1285
849,turcopole-galravaging,1019,1827
850,fuliginosities-denotate,2,236
851,coltishnesses-compearances,355,141
852,informations-transpirable,1623,1371
853,axoplasms-daman,1728,375
854,bough-contraried,276,1997
855,wester-torpescences,1485,485
856,accidental-laterized,873,1814
857,teds-afterwards,1351,1329
858,sculs-morelles,156,187
859,noncomputerized-hillocks,699,777
860,bewrayed-emanations,429,1464
861,aerodart-porcelainise,790,58
862,cabezon-epileptically,94,1088
863,parotides-lairising,1119,91
864,rentings-multicapitate,401,157
865,rail-incrementals,1906,163
866,fetchers-lovesome,1840,1794
867,eukaryon-claim,1278,1587
868,deejay-haemocyte,1348,848
869,relatives-quellers,1985,645
870,rheotaxis-subcodes,726,197
871,commonplaces-pseudocode,945,1007
872,pungles-brocatels,1194,1576
873,maraudings-microcelebrity,349,185
874,azym-abelia,1152,1110
875,antimonites-recalcitration,884,952
876,rebalancing-dognapping,1737,529
877,bilabiate-belittler,630,710
878,overperch-overwhelming,235,1403
879,enmeshments-rogued,230,1169
880,codomains-kinships,1506,1689
881,unworried-ensigns,1234,1528
882,protonations-acridities,1307,519
883,tretinoins-fisheries,51,110
884,clofibrates-divisional,35,973
885,dodgeries-parallelopipeda,484,1111
886,dibenzofurans-prioritizes,707,1803
887,lewisites-liripoop,803,1605
888,nanodots-multivolume,1065,858
889,butane-thatches,537,1366
890,wayless-belt,730,359
891,instituted-weathercloths,38,1313
892,underestimation-forfaiters,1855,1245
893,hedonistic-mams,1359,1090
894,reassembly-therefor,1996,983
895,dubitates-homologise,1358,1267
896,monoecy-pettifoggings,1910,311
897,psammophyte-unwithered,1276,1107
898,burnooses-malaxage,1637,322
899,sorrowfulnesses-henotheism,210,1479
900,tomographic-realtones,1000,1385
901,benzoyl-inclose,1288,1783
902,girsh-offerors,1876,815
903,stronghold-sylphides,174,381
904,outdrinks-apoptoses,717,247
905,stottering-reusability,1080,201
906,coprophagies-fantads,1736,1735
907,secretors-timelessness,804,1201
908,retrainable-deriver,466,1859
909,battening-georgics,1941,1093
910,imbower-brickclay,753,433
911,unwedgeable-guttating,1384,481
912,larcenously-amnions,985,1061
913,cevadilla-agon,427,566
914,tormentings-rhabdomyoma,1911,1593
915,pyrolising-pudendous,1165,268
916,stern-koji,616,21
917,earbashes-salaciousnesses,610,808
918,exemplify-thusness,578,547
919,photomosaics-pigsconce,797,931
920,genizoth-parabases,1860,347
921,heaths-platinised,1400,530
922,hubcaps-onshoring,1029,305
923,brimfull-protistan,122,307
924,codeine-reopposing,128,250
925,brigadier-iguanians,1008,1273
926,thumblings-oar,893,1799
927,silphium-outsoars,854,1816
928,mountebankisms-hushes,1897,1167
929,gynaecia-plumberies,1320,1751
930,secrete-reptiloid,523,1767
931,actualizes-sanest,1176,1841
932,overeducating-splotchy,1253,387
933,galoping-greenbug,292,1989
934,catarrhines-fairnytickle,593,265
935,thanks-frati,996,29
936,woodblocks-caprices,749,336
937,latents-aches,782,172
938,liney-bitchiness,821,1529
939,kinetheodolites-savarin,1958,1501
940,briquettes-aoristic,910,604
941,omasal-murmured,1581,1681
942,paludicolous-pannier,1884,453
943,quartodeciman-wheughed,1818,362
944,derestricted-copycat,921,516
945,uncured-shmooziest,1886,841
946,sows-mairehau,1302,189
947,epidotisation-fanions,1012,793
948,inputs-subassembled,766,1339
949,embus-slotback,816,315
950,puce-nonhereditary,1660,1112
951,nymphomaniacal-arame,786,1881
952,friendings-ectogenesis,557,351
953,percolates-exility,1641,321
954,sharns-niceness,688,1856
955,pinacotheca-refroze,1410,989
956,gentlepersons-irremissions,966,682
957,decumbencies-lairy,1238,1795
958,disaggregation-noncallable,1847,325
959,subclustering-manhandles,573,150
960,hyperexcited-argon,955,812
961,cums-blackleads,1338,1500
962,metalize-ridiculously,1443,283
963,caporals-taskers,565,1409
964,versant-laesie,297,1679
965,menstrua-peeress,1394,1574
966,punitory-otorhinolaryngologists,1960,498
967,roues-livering,1675,1527
968,optic-buzzbaits,1330,1458
969,sithen-interfiber,1499,1465
970,glomerule-twenty,669,963
971,banal-likest,1357,161
972,consilient-shamefaced,1632,342
973,paviors-devotionists,512,1762
974,myrmecochory-sombreness,1442,345
975,unpretentious-verbena,1023,225
976,hydrotherapist-hairy,957,1621
977,texturising-venatic,1692,703
978,pukas-secrecy,950,20
979,naughtiness-prequalification,237,318
980,gasohols-enterectomy,31,1659
981,iridial-pentoside,1232,571
982,decarbonating-apologize,1315,1907
983,pulsidge-spectrometric,178,1618
984,chokey-allurers,66,994
985,interposition-religionize,1588,1305
986,lamenters-namaste,14,1147
987,insouled-countermeasures,1624,1235
988,eviscerated-boogers,1764,1103
989,kenos-choreographies,1120,1282
990,iodine-clodhopping,1438,1521
991,latrias-workwatchers,1049,1691
992,deckles-pourtraicts,809,981
993,tarantaras-cid,407,1612
994,ipecacs-unvulgar,1705,79
995,blew-thraward,244,778
996,bating-hagdon,328,716
997,newsgroup-degenerateness,1207,1694
998,dionysian-shrimping,1460,632
999,cocooned-ampliation,1819,644
